epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.967691,4.45117,6.38182,4.21309,0,0,0,0,1.97744,4.95307,2.91506,0,0,0
2,1.76292,4.47879,8.29307,3.98335,0,0,0,0,1.9745,4.87744,2.93888,1.6505e-05,1.6505e-05,1.6505e-05
3,2.5382,4.08857,9.52073,4.49716,0,0,0,0,1.96815,4.7699,2.98032,3.26799e-05,3.26799e-05,3.26799e-05
4,3.35314,3.78194,6.57753,3.53552,0,0,0,0,2.12302,4.65721,3.08536,4.85247e-05,4.85247e-05,4.85247e-05
5,4.29587,3.38776,6.2932,3.20897,0,0,0,0,2.26121,4.54235,3.16294,6.40395e-05,6.40395e-05,6.40395e-05
6,5.1101,3.30067,4.99326,2.96064,0,0,0,0,2.33969,4.6372,3.12611,7.92242e-05,7.92242e-05,7.92242e-05
7,5.95886,3.49244,7.48874,3.43112,0,0,0,0,2.41856,4.67469,3.09699,9.40788e-05,9.40788e-05,9.40788e-05
8,6.76994,2.54254,10.0785,2.89184,0,0,0,0,2.6149,4.5454,3.04622,0.000108603,0.000108603,0.000108603
9,7.62147,2.07584,4.71374,2.0233,0,0,0,0,2.60025,4.92015,2.97496,0.000122798,0.000122798,0.000122798
10,8.45146,1.99727,6.70081,2.1686,0,0,0,0,2.74672,4.55419,2.91484,0.000136662,0.000136662,0.000136662
11,9.25663,2.63814,6.56822,2.56829,0,0,0,0,2.96427,4.5973,2.90598,0.000150197,0.000150197,0.000150197
12,10.0551,1.36811,4.24364,1.63352,0,0,0,0,3.13041,5.19881,2.97925,0.000163401,0.000163401,0.000163401
13,10.8404,2.80026,6.23012,2.67249,0.00667,1,0.07107,0.00711,2.98469,5.19803,3.03535,0.000176275,0.000176275,0.000176275
14,11.7,0,15.5738,0,0,0,0,0,2.90812,5.28644,3.06683,0.000188819,0.000188819,0.000188819
15,12.5299,2.13357,6.83529,1.89831,0,0,0,0,2.94207,5.80225,3.11273,0.000201034,0.000201034,0.000201034
16,13.3059,1.73637,5.50562,2.40983,0,0,0,0,2.88902,6.50237,3.10594,0.000212918,0.000212918,0.000212918
17,14.1095,1.75417,6.30902,1.52308,0,0,0,0,2.90074,6.33322,3.2074,0.000224472,0.000224472,0.000224472
